month,day,year,event
1,26,1905,"The Imperial Russian Army opens fire on demonstrators in Riga, Governorate of Livonia, killing 73 and injuring 200 people."
2,20,1905,The Battle of Mukden begins in Manchuria.
3,3,1905,Tsar Nicholas II of Russia agrees to create an elected assembly (the Duma).
3,5,1905,"Russian troops begin to retreat from Mukden, after losing 100,000 troops in 3 days."
3,10,1905,The Japanese capture of Mukden (now Shenyang) completes the rout of Russian armies in Manchuria.
3,13,1905,Mata Hari introduces her exotic dance act in Paris.
3,17,1905,"Albert Einstein publishes his paper ""On a heuristic viewpoint concerning the production and transformation of light"", in which he explains the photoelectric effect, using the notion of light quanta."
3,xx,1905,Scioto Valley Traction Company dissociated from the Everett & Moore Syndicate.
5,10,1905,"Snyder, Okla.: tornado killed 97."
5,11,1905,"Albert Einstein submits his doctoral dissertation ""On the Motion of Small Particles..."", in which he explains Brownian motion."
5,15,1905,"Las Vegas is founded when 110 acres (0.45 km2), in what later becomes downtown, are auctioned off."
5,23,1905,"Engine boiler explodes in the Hocking Yard, killing 6 men."
5,27,1905,"Battle of Tsushima: The Japanese fleet under Admiral Heihachiro Togo destroys the Russian fleet under Admiral Zinovi Petrovich Rozhdestvenski, in a 2-day battle."
5,28,1905,"The first Columbus Zoo holds its Grand Opening. The zoo occupied 215 acres in Beechwold, and included not only animals, but rides, picnic grounds, merry-go-rounds, billiard halls and a dance pavilion. "
5,xx,1905,"OSU: Mendenhall Laboratory, 125 South Oval Mall, opens as ""The Physics Building""."
8,7,1905,Scioto Valley Traction Company completes a bridge across the Scioto River at Chillicothe.
8,14,1905,Scioto Valley Traction Company begins regular hourly service on the Circleville-Kingston section.
8,26,1905,Scioto Valley Traction Company extends service to Riverside Street in in Chillicothe.
10,7,1905,"The first Columbus Zoo closes, just four short months after its grand opening. All that remains of the zoo is the Monkey House (now a private residence), Rustic Bridge Road (the kissing bridge) and Elk Drive."
11,11,1905,Michigan beats Ohio State 40 to 0 at Michigan
11,15,1905,"Scioto Valley Traction Company puts its Circleville station, a remodeled store, into service."
12,5,1905,Scioto Valley Traction Company establishes regular freight service.
12,5,1905,"Scioto Valley Traction Company puts its Columbus station, the former Rich Street School Building, into service."
xx,xx,1905,"Albert Einstein's ""annus mirabilis"" papers are published - photoelectric effect, brownian motion, special relativity, mass-energy equivalence."
xx,xx,1905,"Olentangy Park adds a Japanese Village, constructed by 40 Japanese workers and brought over from Japan."
xx,xx,1905,The Atlas Building at 8 E. Long St. opens. 12 stories. Designed by Frank L. Packard.
xx,xx,1905,"Picasso paints Au Lapin Agile, from his rose period."
1,31,1906,"Ecuador - An earthquake with a magnitude of 8.8 struck near the coast of Ecuador and Colombia, generating a strong tsunami that killed up to 1,000. It was felt all along the coast of Central America and as far north as San Francisco and west to Japan."
2,19,1906,The battleship USS Rhode Island (BB-17) is commissioned
6,2,1906,The battleship USS Louisiana (BB-19) is commissioned
6,7,1906,"The RMS Lusitania is launched. 31,550 tons, 787 feet, 2198 passengers"
9,20,1906,"RMS Adriatic launched in Belfast. 24581 tons, 13000 hp, 729 ft, 3000 passengers with 2300 in steerage."
9,20,1906,"The RMS Mauretania is launched. 31,938 tons, 790 feet, 2165 passengers"
9,24,1906,The battleship USS Georgia (BB-15) is commissioned
9,24,1906,The battleship USS New Jersey (BB-16) is commissioned
9,29,1906,The battleship USS Connecticut (BB-18) is commissioned
10,20,1906,Michigan beats Ohio State 6 to 0 at Ohio State
11,15,1906,General Curtis E. LeMay born in a cottage with a steep roof near the corner of Acheson and 20th St.
12,1,1906,"Passenger liner SS Kronprinzessin Cecilie  is launched. 19,400 gt, 24 knots."
12,20,1906,"AEP: American Gas and Electric, the precursor to American Electric Power is formed in New York City by Richard Breed, a principal stockholder of the American Electric Company, his brother-in-law Harrison Williams and  Sidney Z. Mitchell, a protoge of Thomas Edison with experience in the utility industry."
xx,xx,1906,The 8 E. Broad St. building opens. 17 stories.
xx,xx,1906,"OSU: Derby Hall, 154 North Oval Drive, opens. Occupied initially by the Chemistry Department. The two previous Chemistry Buildings were destroyed by fire. Derby Hall was damaged by fire six months after it opened."
xx,xx,1906,"OSU: Lord Hall, 124 W. 17th Ave., opens. It is used by the Schools of Mines and Ceramics."
xx,xx,1906,Scioto Valley Traction Company builds a station in Lancaster.
1,2,1907,"AEP: American Gas and Electric, less than two weeks old, took over from ECA the assets of 20 utilities and assorted companies owned by those utilities, mostly in small communities spread from New Jersey and Wheeling, West Virginia, westward to Marion and Muncie, Indiana. "
1,21,1907,"Ohio River floods. The levee broke in Lawrenceburg, Ind., and the onslaught of water began. It took 750 workers to repair the breach. Aberdeen, Ohio, in Brown County, was cut off. Maysville, Ky., was reeling."
3,4,1907,The battleship USS Vermont (BB-20) is commissioned
4,18,1907,The battleship USS Kansas (BB-21) is commissioned
4,xx,1907,"AEP: Muncie and Marion Indiana were selected to be joined by a remarkable 25 miles of electric lines, a new distance record."
5,8,1907,RMS Adriatic maiden voyage.Liverpool to New York.
7,1,1907,The battleship USS Nebraska (BB-14) is commissioned
9,7,1907,The RMS Lusitania maiden voyage
10,21,1907,"The National Bank of Commerce refused to honor checks of Knickerbocker Trust, causing a run on the Knickerbocker Trust. By the end of the next day, the National Bank of North America had failed and runs were sparked on nearly every trust in New York. The resulting downturn in business and tightness of money supply was severe."
10,26,1907,Michigan beats Ohio State 22 to 0 at Michigan
11,16,1907,Oklahoma becomes a state.
11,16,1907,The RMS Mauretania maiden voyage
12,16,1907,"The ""Great White Fleet"" sets sail on a round-the-world journey to display American naval power. The Battleship Ohio is among them."
12,31,1907,An electrically lighted ball descends in Times Square for the first time.
xx,xx,1907,Franklin County Veterans Memorial Hall built - later houses COSI.
xx,xx,1907,"Mercy Hospital, 1400 South High Street, opens."
xx,xx,1907,"The Alcorn Eye, Ear, Nose and Throat Hospital opens. First of its kind in Columbus."
xx,xx,1907,"The Columbus Panhandles play their first football game. Most of the players are railroad workers, and the Nesser brothers who work as boilermakers make up 5 of the team's players."
xx,xx,1907,Picasso paints Les Demoiselles d'Avignon.
xx,xx,1907,"AEP: American Gas & Electric produced 53,000,000 kilowatt-hours."
2,1,1908,USS Idaho BB-24 is commissioned.
2,xx,1908,"Confidence in the U.S. Economy is restored after the stock market crash of October 21, 1907. J.P. Morgan organized banks, secured overseas lines of credit and bought shares in companies at depressed prices."
3,4,1908,"The Collinwood, Ohio school fire (also known as the Lakeview School fire) erupted, killing 172 students, two teachers and one rescuer in one of the deadliest school disasters in United States history."
3,11,1908,Benjamin Franklin Tuberculosis Hospital opens.
3,19,1908,USS New Hampshire BB-25 is commissioned.
4,1,1908,USS Mississippi BB-23 is commissioned.
4,24,1908,"At 11:45 am the F4-rated ""Amite/Pine/Purvis Tornado"" killed 143 people and injured 770. The tornado left only seven houses intact in Purvis, Mississippi, and also caused damage in Louisiana."
4,27,1908,"The Summer Olympics open in London, England."
6,30,1908,"At 7:40 a.m. local time, a massive explosion (Tunguska event) occurrs near the Podkamennaya (Under Rock) Tunguska River in what is now Krasnoyarsk Krai of Russia. The explosion was most likely caused by the air burst of a large meteoroid or comet fragment at an altitude of 5 to 10 kilometers (3Ð6 mi) above Earth's surface. Different studies yielded varying estimates for the meteor's size, from 50 up to 1200 meters in diameter."
9,16,1908,General Motors is founded by William T. Durant.
9,17,1908,Henry Ford builds the first Model T.
10,15,1908,Scioto Valley Traction Company extends service to Main Street in in Chillicothe.
10,24,1908,Michigan beats Ohio State 10 to 6 at Ohio State
12,21,1908,"The Chicago, Burlington & Quincy gains control of the Colorado & Southern."
xx,xx,1908,Cadillac is the first American car to win the Royal Automobile Club of the United Kingdom's Dewar Trophy by successfully demonstrating the interchangeability of its component parts during a reliability test.
xx,xx,1908,Burglar Walter Edward White climbs over the Ohio Penitentiary wall using bedsheets. His is the last successful escape over the wall from the Pen.
xx,xx,1908,Griggs Dam on the Scioto river completed.
xx,xx,1908,Alonzo J. Bowling becomes the first African American to receive a MA from The Ohio State University
xx,xx,1908,"OSU: Ives Hall, 2073 Neil Ave., opens."
xx,xx,1908,"OSU: Oxley Hall, 1712 Neil Ave., opens as a women's dormitory."
1,4,1909,Scioto Valley Traction Company replaces its store front station with a new station.
2,22,1909,"The ""Great White Fleet"" returns from its round-the-world journey to display American naval power."
3,4,1909,William Howard Taft inaugurated as President.
4,1,1909,"Fleetwood Metal Body is founded in Fleetwood, PA to supply car bodies to Cadillac."
4,12,1909,The cornerstone for the old student union at Ohio State was laid (now Enarson Hall). This was the first student union at a state university and the fourth in the nation.
9,10,1909,Hurricane: La. and Miss.: 350 deaths.
9,13,1909,James A. Rhodes born in rural Jackson County.
10,16,1909,Michigan beats Ohio State 33 to 6 at Michigan
xx,xx,1909,General Motors purchases Cadillac.
xx,xx,1909,"Downtown Columbus Lazarus opens with 933,000 square feet of floor space."
xx,xx,1909,"Lazarus moves across the street to a six story, 115,000 square foot store, its current site. The store adds women's clothing and a limited assortment for children. Store includes a moving escalator and chirping canaries."
xx,xx,1909,Olentangy Park adds the Red Devil Rollercoaster and the Whirlwind.
xx,xx,1909,"The first Junior High School in the nation opens, Indianola Junior High School. Meant to bridge the gap between elementary and high school."
xx,xx,1909,The Anti-Saloon League moves its headquarters to Westerville.
xx,xx,1909,AEP: Number of Americans with electricity in their homes: 8%
3,1,1910,USS South Carolina BB-26 commissioned.
4,29,1910,Streetcar strike begins in Columbus.
4,30,1910,Columbus is the first city in the United States to collect garbage door to door.
5,2,1910,Charles Evans Hughes is appointed Associate Justice of the United States Supreme Court.
5,23,1910,A B&O train rolls off the embankment after failing to stop at a red signal at the BO crossing. No fatalities.
7,4,1910,Chief Justice Melville Weston Fuller of the United States Supreme Court died in office.
10,1,1910,"A strict anti-gambling law becomes effective in Nevada. It even forbid the western custom of flipping a coin for the price of a drink. Nevada was the last state to ban gambling, so Americans would have to live without legalized gambling until 1931, when Nevada legalized gambling again."
10,18,1910,Streetcar strike ends in Columbus.
10,22,1910,Michigan and Ohio State tie 3 to 3 at Ohio State
11,6,1910,"The Preußen, the only five masted full sail ship built, is wrecked after being struck by the cross channel steamer Brighten 8km south of Newhaven."
11,23,1910,Toledo & Ohio Central station at 379 West Broad Street suffers a devastating fire. The roof collapses and all records are destroyed.
12,12,1910,Edward Douglas White is elevated from Associate Justice to Chief Justice of the United States Supreme Court.
12,29,1910,WCF&N: Electric operation was extended over a newly built track to Waverly and the operation over the Great Western tracks was discontinued.
xx,xx,1910,Columbus builds the city's first garbage reduction and recycling plant in the United States.
xx,xx,1910,First Columbus Boy Scouts camp founded by J. J. Staley
xx,xx,1910,"The population of Columbus reaches 181,511"
xx,xx,1910,The Chesapeake & Ohio acquires control of the Hocking Valley RR.
xx,xx,1910,World's first air cargo freight shipment arrived at Columbus' Driving Park.
xx,xx,1910,Annetta Johnson St. Gaudens gives 12 acres of her family farm southeast of the Flint Ravine to the Godman Guild to serve as a permanent camp.
3,xx,1911,The battleship USS Texas is sunk in Chesapeake Bay as a target ship.
6,16,1911,"IBM is founded in New York City as the Computing, Tabulating, Recording Company."
10,10,1911,"Beginning of the Wuchang Uprising in China by the military, where dynastic rule is replaced with a Republic."
10,10,1911,The battleship USS Texas is decommissioned
10,21,1911,Michigan beats Ohio State 19 to 0 at Michigan
12,13,1911,Norwegian Roald Amundsen finally reached the Pole following a dramatic race with the Englishman Robert Falcon Scott.
xx,xx,1911,"Proctor and Gamble introduced Crisco to the world as ""A scientific discovery which will affect every kitchen in America"""
xx,xx,1911,Columbus voters pass the first bond issue for city parks and recreation.
xx,xx,1911,"The Hartman Building is constructed, 73-87 E. State St. nine stories."
xx,xx,1911,The St. Clair Hospital opens on St. Clair Avenue.
xx,xx,1911,"OSU: Enarson Hall, 154 W. 12th Ave., opens. Serves as the first Ohio Union."
xx,xx,1911,Elevation of tracks completed at the Toledo & Ohio Central station at 379 West Broad Street.
xx,xx,1911,The covered bridge that carries Wilson Bridge Road across the Olentangy washes out.
1,6,1912,New Mexico admitted to the United States.
2,2,1912,"The hulk of the USS Maine is refloated in Havana Harbor, Cuba."
2,14,1912,Arizona admitted to the United States.
3,12,1912,"The provisional government of the Republic of China was formed in Nanjing , ending 2000 years of dynastic rule."
3,16,1912,The hulk of the USS Maine is sunk with honors in the Gulf of Mexico.
4,12,1912,"The RMS Titanic sinks after colliding with an iceberg during her maiden voyage from Southampton, UK, to New York City."
5,10,1912,Operators on Paint Creek and Cabin Creek (West Virginia) hired the notorious Baldwin–Felts Detective Agency to break the coal miner's strike.
5,23,1912,"The S.S. Imperator is launched. German. 52,117 tons, 906 feet, 4234 passengers"
6,1,1912,Standard Oil opens the first filling station in Ohio in the shadow of the Ohio State House at Oak and Young Streets.
6,6,1912,"Volcano, Katmai, Alaska: A massive eruption ejects 12 km3 of material. Residents of Kodiak, 100 miles from Katmai, were among the first Alaskans to observe the eruption phenomenon. A heavy fall of volcanic ash blanketed the town and created considerable apprehension. Initially, no one knew what caused the ash to fall. It was June 6, yet by 6:30 p.m., the town was obscured in total darkness. At the time of the eruption, lightning struck the Kodiak radio station. The station burned down and all communications with the outside world were severed."
6,25,1912,Worthington Council passes resolution to install a public water works and water becomes available throughout the village next year.
6,27,1912,Scioto Valley Traction Company opens its new Chillicothe station.
7,6,1912,"The Summer Olympics open in Stockholm, Sweden."
7,26,1912,"Miners attacked Mucklow, present-day Gallagher, leaving at least twelve strikers and four guards dead."
8,26,1912,Columbus celebrates its 100th anniversary in combination with the Ohio State Fair that week. President William H. Taft gives a speech at the fair.
8,29,1912,People gathered at the Ohio Statehouse to celebrate the centennial of the city of Columbus.
9,1,1912,"Approximately 6,000 unionized miners from across the Kanawha River crossed the river and declared their intent to kill the mine guards and destroy the company operations. Prior to the strike there were 96 coal mines in operation on Paint Creek and Cabin Creek, employing 7500 miners."
9,2,1912,"The Governor of West Virginia deploys 1,200 state troops in the WV coal strike. Confiscating arms and ammunition from both sides lessened tensions to some degree, but the strikers were forbidden to congregate, and were subject to fast, unfair trials in military court. "
10,19,1912,Michigan beats Ohio State 14 to 0 at Ohio State
12,12,1912,"WCF&N: Service extended to LaPorte City, Iowa."
xx,xx,1912,Lazarus passes the $1 million mark in annual sales.
xx,xx,1912,"The Hartman Building is increased from 9 to 10 stories, 73-87 E. State St."
xx,xx,1912,"Women's suffrage march draws 5,000 protestors to Columbus."
xx,xx,1912,"OSU: Ives Hall, 2073 Neil Ave., addition of a horse barn."
xx,xx,1912,"OSU: William Thompson Oxley Memorial Library, 1858 Neil Ave., opens."
xx,xx,1912,A new interurban station is opened in Columbus by the Ohio Electric Railway Company at the northwest corner of Rich and 3rd Streets. All interurbans except the SVTC used this terminal. The SVTC continued to use its station across the street on the NE corner.
xx,xx,1912,PRR: The Pennsylvania Limited (formerly the Pennsylvania Special) between New York and Chicago begins operating on a 18 hour schedule.
xx,xx,1912,The Methodist Children's Home Association selects Worthington for its new orphanage and purchases 141 acres north of the village.
xx,xx,1912,The Taylor-Wharton Iron & Steel Company was incorporated as successor to the Taylor Iron & Steel Company.
1,14,1913,Ohio River floods. The Ohio River spread out 8 miles wide in the lowlands. Hundreds of families fled in the Mill Creek valley. A call went out for help to relieve ''great want and suffering.''
2,13,1913,"West Virginia coal miners strike. Mother Jones was arrested in Pratt and charged in military court for inciting riot (reportedly for attempting to read the Declaration of Independence), and, later, conspiracy to commit murder. She refused to recognize the jurisdiction of the military court, and refused to enter a plea. Jones was sentenced to twenty years in the state penitentiary and acquired a case of pneumonia."
2,14,1913,"Woodrow ""Woody"" Hayes born in Clifton, Ohio."
2,17,1913,"The Armory Show opens in New York City. Known as the International Exhibition of Modern Art. The show became an important event in the history of American art, introducing astonished Americans, who were accustomed to realistic art, to the experimental styles of the European avant garde, including Fauvism, Cubism, and Futurism. The show served as a catalyst for American artists, who became more independent and created their own ""artistic language."""
3,4,1913,Woodrow Wilson inaugurated as President.
3,23,1913,"Easter Sunday: Two moisture-laden low pressure systems began moving up the Ohio River Valley, and rain began falling in substantial quantities which lasted through March 27th. Totals of between 7 and 8 inches were common throughout the Buckeye State. Among the greatest rainfall amounts officially reported were: 11.16 inches at Bellefontaine (Logan County); 10.61 inches at Marion (Marion County); 10:56 inches at Bangorville (Richland County) and 10.15 inches at Wooster (Wayne County). In eastern Nebr. and western Iowa 8 tornadoes resulted in 181 deaths (94 in Omaha, Nebr.)."
3,23,1913,"Ohio's canal system came to an abrupt end. The flood caused the reservoirs to spill over into the canals, destroying aqueducts, washing out banks, and devastating most of the locks."
3,25,1913,"The Scioto River tops its levies and floods Franklinton and West Columbus. The resulting flood kills 93 people, does $5,622,000 in damage and floods 4,071 private dwellings. In all of Ohio, 428 die and $250 million in property damage."
4,1,1913,"Dayton, Ohio, was inundated by the waters of the Great Miami River. Hundreds of houses were washed away in Portsmouth, Ohio. A smallpox outbreak was reported in southeastern Indiana. At least 129 people were killed along the Ohio River. In Dayton, the number of dead totaled 454, with 40,000 left homeless."
4,3,1913,"The S.S. Vaterland is launched. 54282 tons, 950 ft, 1165 passengers."
6,11,1913,The S.S. Imperator maiden voyage Cuxhaven to New York.
7,xx,1913,"New WV governor Dr. Henry D. Hatfield was sworn in on March 4 and immediately traveled to the area as his first priority. He released some thirty individuals held under martial law, transferred Mother Jones to Charleston for medical treatment, and in April moved to impose conditions for the strike settlement. Strikers had the choice to accept Hatfield's somewhat favorable terms, or be deported from the state. The Paint Creek miners accepted and signed the ""Hatfield Contract"" on May 1. The Cabin Creek miners continued to resist, with some violence, until the end of July."
9,28,1913,"WCF&N: Service extended to Brandon, Iowa."
11,11,1913,"A full blizzard, 12-24 inches snow in central and eastern Ohio, winds over 75 mph, communication failures, 18 ships lost and 254 sailors dead on the Great Lakes. "
12,7,1913,"WCF&N: Service extended to Urbana, Iowa."
xx,xx,1913,Columbus issues the first automobile licenses.
xx,xx,1913,"More than 750,000 people turn out to attend the revival meeting held by evangelist William Ashley ""Billy"" Sunday. He reportedly converted 18,000 people and raised $21,000 during his seven week stay in Columbus"
xx,xx,1913,"The Columbus Audubon Society is established, with president James Chase Hambleton."
xx,xx,1913,Women are transferred from the Women's Building at the Ohio Penitentiary to a new Women's Prison in Marysville.
xx,xx,1913,Main Library opens at The Ohio State University
xx,xx,1913,"King and Ben Thompson purchase 840 acres of land from James Miller and found ""The Country Club District"" in what is to become Upper Arlington."
xx,xx,1913,A new viaduct permits the Scioto Valley Traction Company to cross the railroad tracks on Parsons Avenue.
xx,xx,1913,Federal Income Tax Introduced
xx,xx,1913,U.S. central bank established by The Federal Reserve Act.
xx,xx,1913,"Potter Lumber Co. is founded adjacent to the railroad. Local carpenters can now buy building supplies and pre-cut houses such as the ""Honor Bilt"" homes from Sears."
1,4,1914,"The Michigan Central Station with 18 story tower is dedicated in Detroit, MI."
4,xx,1914,"The Pennsylvania Railroad outshops its first L class Mikado 2-8-2, #1752 at Juniata."
5,5,1914,The Columbus City Charter is adopted by the electors.
5,14,1914,The S.S. Vaterland has its maiden voyage.
6,20,1914,"The S.S. Bismarck (German) is launched. 56,551 tons, 956 feet, 2145 passengers."
6,21,1914,"WCF&N: Service extended to Center Point, Iowa."
6,28,1914,"The Archduke is assassinated in Sarajevo. 
Assassins Princip and Cabrinovic are taken into custody."
6,29,1914,"Belgrade wires its condolences to Vienna. 
Serbian Prime Minister Nikola Pasic renounces the Black Hand and orders all public meeting places closed. 
The week long festival celebrating St. Vitus Day festival is cancelled. 
Widespread rioting and looting by Croats and Moslems in Sarajevo directed towards the Serbian population. Good deal of property damage with injuries. 
Austrian Foreign Minister Count Leopold von Berchtold's initial stance is one of moderation; dismiss Belgrade's minister of police, jail all suspected terrorists, and dissolve extremist groups. Austrian army Chief of Staff General Conrad von Hotzendorff wants invasion but needs sixteen days to mobilize his troops. 
The Austrians are aware of a trip by French President Raymond Poincare and Prime Minister Rene Viviani to Russia that will end 23-Jul-1914. It was agreed that no action should take place until then. It would not do to have French and Russians in such close contact during the crisis to follow. 
Hungarian Prime Minister, Count Istvan Tisza, does not want any action that could bring war with Russia. He is in direct conflict with Austrian counterpart, Count Berchtold. 
London newspaper runs headline: ""To Hell with Serbia"". However, King George V decrees seven days of mourning. 
Not to be outdone, Czar Nicholas II orders twelve days of mourning."
6,30,1914,"German Ambassador to Vienna, Count Heinrich von Tschirschky, warns Berchtold against employing ""hasty measures in settling accounts with Serbia""."
7,2,1914,Emperor Franz Josef sends a letter to Kaiser Wilhelm II thanking him for his condolences regarding the Archduke's death. The letter contains undertones of the actions to follow.
7,4,1914,"Archduke Franz Ferdinand is buried. 
Victor Naumann, messenger for the German Foreign Office, arrives in Vienna to assure German support in the event Russia was provoked by Austrian action. 
Foreign Office Chief Alexander Hoyos volunteers to take the letter requesting support, composed by Franz Josef and Berchtold, to Berlin and deliver it to the Kaiser persnally. The letter has been composed with moderation. Hoyos will see that it is interpreted with hostility."
7,5,1914,"German Foreign Minister Gottlieb von Jagow leaves for his honeymoon in Lucerne. 
Hoyos arrives in Berlin and is accompanied to Potsdam Palace by the Austrian Ambassador to Germany, Count L. de Szogyeny-Marich, where they meet with the Kaiser. The goal of the mission is to secure German backing for any actions Austria-Hungary might take. No notes exist from this meeting but it is widely accepted that they received the promises of support they sought. The blank check had been given. [¿ view text of the 'blank check'] 
All but one of the seven assassins have now been apprehended. Mehmedbasic would be the only member of the assassination team to escape. See Jun-28-1914: Assassination in Sarajevo for more details. "
7,6,1914,"Having completed his meeting with Hoyos and Szogyeny, the Kaiser departs for his annual North Sea cruise. The twenty day cruise had been planned for months and the Kaiser saw nothing in events that would cause him to cancel it. Besides it might appear that something was wrong should the cruise be cancelled."
7,7,1914,The Austro-Hungarian Ministerial Council meets to consider the implications of the 'blank check'. Some sort of action will be taken against Serbia. Hungarian Prime Minister Tisza voices reservations on these plans.
7,8,1914,"Szogyeny, still in Berlin, sends a wire prepared by Hoyos to Tisza and Berchtold. The wire intimates that ""The Kaiser would deplore our not taking advantage of the present moment which is favorable to us."" Hoyos had fabricated this statement, and by doing so, brought the shadow of the Kaiser to Conrad's cause. Berchtold, detecting a change in the political wind also comes around to Conrad's side. Serbia must be invaded. Hungarian Prime Minister Tisza must be converted to the war camp. Berchtold recommends that Conrad and Minister of War, Baron Alexander von Krobatin, proceed with their vacation plans lest something be suspected."
7,9,1914,The Austrians meet to formalize their strategy. A non-ultamatum super-ultimatum will be used. A non-ultimatum in that it will be in the form of a simple timed note; a super-ultamatum in that it will be formulated to generate a refusal. The fate of Serbia has been sealed.
7,10,1914,"Berchtold dispatches Friedrich von Wiesner to Sarajevo to report on the assassination inquest's findings. 
The Russian minister to Serbia drops dead."
7,13,1914,"Wiesner wires his findings back to Berchtold: Nothing has been found to implicate the Serbian government in the assassination. Berchtold keeps the findings away from Franz Josef. 
Krobatin leaves for vacation in Bad Gastein as planned."
7,14,1914,"Berchtold wins over Tisza by promising that no territorial demands will be placed upon Serbia. Berchtold was lying - Serbia had already been partitioned on paper. Tisza had written several letters to Emperor Franz Josef pleading for leniency in dealing with Serbia. Berchtold had these intercepted before they made it to the Emperor. He and Conrad would have the war against Serbia for which they had waited so long. 
Conrad leaves for vacation in Innichen as planned. "
7,15,1914,Poincare and Viviani depart France for their visit to Russia
7,16,1914,"Both the Italian and Russian ambassadors in Vienna warn the Russian government in St. Petersburg: Austria is considering decisive action against the Serbs. 
Word of the planned Austrian action against Serbia has hit the diplomatic circuit. The British are now aware that something is up in Austria. "
7,18,1914,"Berchtold visits British Ambassador to Vienna, Sir Maurice de Bunsen. The ambassador notes that the Foreign Minister ""was unusually chatty and agreeable."" "
7,19,1914,"The Austrian Ministerial Council meets in secret. It is decided that Conrad shall be given his chance and Serbia will be ""beaten to earth."" 
The Ultimatum to Serbia is drafted."
7,20,1914,"The ultimatum is delivered to Bad Ischl. Franz Josef get his first look at the ""jewel"". "
7,21,1914,"Berchtold visits Franz Josef at Bad Ischl to get final approval of the ultimatum to Serbia. Berchtold finesses approval from the Emperor. 
Russian Foreign Minister Sergei Sazonov warns German Ambassador Count Friedrich von Pourtales that Russia will not allow Austria-Hungary to take any military action against Serbia. 
Everything is ready. Now it's just a waiting game until the French president and prime minister end their Russian visit on the 23rd."
7,22,1914,"After viewing the text of the ultimatum, German Undersecretary Arthur Zimmermann comments that ""the note is too sharp."" "
7,23,1914,"Austrian Ambassador to Serbia, Baron Vladimir von Giesl, delivers the ultimatum at 6:00 pm sharp. The reply must come within 48 hours. 
Giesl has been instructed to regard any reply as unacceptable. 
Pasic and many of his cabinet are in the southern provinces on a political tour. The Minister of Public Information, Ljuba Jovanovic is the first Serb to see the ""note."" 
Pasic and the cabinet are called back to Belgrade."
7,24,1914,"Pasic returns to Belgrade at 5:00 am. 
Giesl and staff begin burning sensitive diplomatic papers and cipher books. They are already preparing for their departure from Belgrade on tomorrow's evening train. 
Prince Alexander urgently wires the Russian Czar for assistance and guidance in the matter. 
Russia advises Pasic to ""proceed with extreme caution."" [¿ view text of the advice] 
Serbia makes the contents of the ultimatum public in a hope to gain public support. The world is aghast at the contents. They ask for the impossible. 
The Kaiser hears about the ultimatum from his yacht's radio officer who read it in the Norwegian newspaper. "
7,25,1914,"The reply to the note is formulated in such a way as to yield where at all possible. This reply must also win public support. 
The Serbian leadership fears for the worst. Austria will attack no matter what the contents of the reply. Serbia orders general mobilization of it's army at 3:00 pm. Nobody knew it, but, World War I had just begun. 
With a mere 5 minutes to go, Pasic personally delivers the reply to Giesl at 5:55 pm. The reply yields almost everywhere. It might as well have yielded nothing. [¿ view text of the reply] 
The Austrian legation departs Belgrade on the 6:30 pm train as planned. The train is across the Danube and back in the Empire by 6:40 pm. 
The Austrian mobilization order must be signed by Emperor Franz Josef. Berchtold obtains this signature at 7:23 pm by telling the aged Emperor that the Serbs were already attacking. Conrad was given his marching orders. Alarm Day for the Austrian army was set for 27-Jul and troop movements would begin on the day following. 
An oversight: Germany has not been informed of these actions by her ally, Austria-Hungary. "
7,26,1914,"A copy of the ultimatum is wired to Poincare aboard the French battle cruiser France. 
Russia enters state of pre-mobilization. 
Conrad informs Berchtold that he will not be ready for full military action before 15-Aug-1914. Shelling would have to do until then."
7,27,1914,"Wilhelm cuts short his cruise and returns to Potsdam. 
The British fleet has just completed its summer maneuvers and is preparing to return to routine duty. Churchill orders the fleet to proceed to war stations. The fleet would be ready if the crisis got out of hand. 
Germany officially and publicly advises Austria against British mediation. 
Grey feels out the British cabinet by posing the hypothetical question of Great Britain's entering into a war if France were attacked by Germany. 
The French Chief of Staff, Joffre, and the French War Minister, Adolphe Messimy, express their hopes through the military attache in St. Petersburg that should war break out, the Russians would immediatly take the offensive in East Prussia. 
The French issue standby mobilization orders."
7,28,1914,"Serbian armed forces Chief of Staff, General Radomir Putnik is taken prisoner in Budapest as he was returning from vacation by train. After being held for a time, he is released on ""orders from an all highest level"". He is escorted to the Serbian frontier in Conrad's private railroad car. 
11:00 am. One month after the assassination, almost to the minute, Austria telegrams a declaration of war to Serbia. A telegram declaring war? At first Belgrade thinks it is a hoax. [¿ view text of the Austrian declaration of war] 
British Foreign Minister Grey proposes a meeting of French, German, and Italian diplomats in an effort to cool the crisis. No one is interested. 
German Chancellor Theobald von Bethmann-Hollweg admits he was duped by the Austrians and offers his resignation to the Kaiser. The Kaiser refuses stating: ""You have cooked this broth, now you will eat it."". The Chancellor vents his frustration with Austria in a wire to the German Ambassador to Vienna, Tschirschky. [¿ view text of the wire] 
Austrian artillery opens up fire on Belgrade from across the Danube. 
Word of the Austrian declaration of war reaches Saint Petersburg late in the afternoon. Maurice Paleologue, French Ambassador to Russia, is quick to assure the Czar that Russia can count on France to the fullest extent."
